area,check,status,expected,actual,evidence,next_action
a100,platform_result_manifest,pass,CSV and Markdown transfer manifest exists with package audit instructions and profile-specific build/binary metadata,ok,results/summary/a100_component_finalplan_20260714_result_manifest.csv;results/summary/a100_component_finalplan_20260714_result_manifest.md,run scripts/write_platform_result_manifest.py for the target profile/tag before transferring external platform results
h100,platform_result_manifest,pass,CSV and Markdown transfer manifest exists with package audit instructions and profile-specific build/binary metadata,ok,results/summary/h100_component_finalplan_20260714_result_manifest.csv;results/summary/h100_component_finalplan_20260714_result_manifest.md,run scripts/write_platform_result_manifest.py for the target profile/tag before transferring external platform results
platforms,platform_intake_dashboard,pass,cross-platform intake dashboard exists with profile and power-policy summary,ok,results/summary/platform_component_intake_dashboard_20260714.csv;results/summary/platform_component_intake_dashboard_20260714.md,run scripts/build_platform_intake_dashboard.py after package audits and gap reports are generated
v100,platform_result_package_audit,missing,"package audit exists with 0 fail, 0 missing, and 0 warning rows","rows=19, failures=0, missing=17, warnings=0",results/summary/v100_platform_result_package_audit_20260714.csv,"run scripts/audit_platform_result_package.py after copying back all raw, power, NCU, matched-control, reliability, and strict summary artifacts"
a100,platform_result_package_audit,missing,"package audit exists with 0 fail, 0 missing, and 0 warning rows","rows=19, failures=0, missing=17, warnings=0",results/summary/a100_platform_result_package_audit_20260714.csv,"run scripts/audit_platform_result_package.py after copying back all raw, power, NCU, matched-control, reliability, and strict summary artifacts"
h100,platform_result_package_audit,missing,"package audit exists with 0 fail, 0 missing, and 0 warning rows","rows=19, failures=0, missing=17, warnings=0",results/summary/h100_platform_result_package_audit_20260714.csv,"run scripts/audit_platform_result_package.py after copying back all raw, power, NCU, matched-control, reliability, and strict summary artifacts"
rtx3090,platform_component_summary,pass,rtx3090 component summary with semantics=one_sec_average,results/summary/rtx3090_strict_scope_fresh_ncu_component_coefficients_20260714.csv,results/summary/rtx3090_strict_scope_fresh_ncu_component_coefficients_20260714.csv,verify this summary with the strict/package audits before publication
rtx3090,platform_summary_policy,pass,"required components accepted with total-energy delta, GPU/device scope, matching power semantics, same-coordinate NCU rows, and path-specific NCU evidence fields",ok,results/summary/rtx3090_strict_scope_fresh_ncu_component_coefficients_20260714.csv,regenerate the platform summary from accepted reliability rows and the power measurement matrix with NCU evidence fields preserved
rtx3090,platform_summary_audit_artifact,pass,strict summary audit exists with 0 fail and 0 warning rows,"rows=193, failures=0, warnings=0",results/summary/rtx3090_strict_scope_fresh_ncu_component_summary_audit_20260714.csv,run scripts/audit_strict_component_summary.py after building the platform strict component summary
rtx3090,platform_power_api_artifacts,pass,power API audit artifacts contain only final_candidate total-energy GPU/device rows with matching semantics,rows=360,results/summary/rtx3090_component_finalplan_20260714_power_api_audit.csv,rerun scripts/audit_power_api_measurements.py and rebuild the strict component summary with --power-api-audit-csv
rtx3090,platform_power_state_artifacts,pass,"power-state audit artifacts exist, contain no reject or coefficient-ineligible rows, and include positive average power, peer median power, SM clock, temperature, elapsed time, and run-coordinate evidence","rows=360, reject=0, ineligible=0",results/summary/rtx3090_component_finalplan_20260714_power_state_audit.csv,"rerun scripts/audit_power_state_stability.py, exclude reject rows before matched-control, and rebuild the strict component summary"
rtx3090,platform_reliability_artifacts,pass,component reliability artifacts exist and contain accepted non-reject rows,ok,results/summary/rtx3090_component_finalplan_20260714_component_reliability_audit.csv,run scripts/audit_component_reliability.py for the target platform
rtx3090,platform_ncu_acceptance_artifacts,pass,fresh NCU acceptance artifacts cover tensor/control/shared/L1/L2 paths with pass reasons and counter evidence that satisfies path-specific hit-rate and traffic-ratio thresholds,ok,results/summary/rtx3090_component_finalplan_20260714_ncu_acceptance.csv,run scripts/run_ncu_validation.sh and scripts/analyze_ncu_path_acceptance.py with matching platform settings
v100,platform_component_summary,missing,v100 component summary with semantics=instant,missing,results/summary,"run the generated platform finalplan on the target node and then run power, NCU, matched-control, reliability, and summary audits"
a100,platform_component_summary,missing,a100 component summary with semantics=instant,missing,results/summary,"run the generated platform finalplan on the target node and then run power, NCU, matched-control, reliability, and summary audits"
h100,platform_component_summary,missing,h100 component summary with semantics=one_sec_average,missing,results/summary,"run the generated platform finalplan on the target node and then run power, NCU, matched-control, reliability, and summary audits"
